Country,year,Urban population growth (annual %),Rural population growth (annual %),Mobile cellular subscriptions (per 100 people),Fixed broadband subscriptions (per 100 people),"Foreign direct investment, net inflows (% of GDP)","GNI per capita, Atlas method (current US$)","Primary education, duration (years)","Inflation, consumer prices (annual %)",Access to electricity (% of population),People using at least basic drinking water services (% of population),Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,suicides_no,suicides/100k pop,gdp_per_capita ($),sex,age,generation
Belarus,2009,0.380166357741498,-1.9350485504299297,102.107906,11.51446848,3.68851893113794,5660.0,4.0,12.945656341040099,100.0,97.94330900370448,5.564,9.681000000000001,0.9079999999999999,62.0,0.679,-0.203,0.6759999999999999,228.58333333333334,31.294999999999998,5366.0,0.0,3.0,3.0
Belarus,2010,0.501480521478588,-2.1252113337084197,109.07656029999998,17.59335489,2.3751775115255898,6210.0,4.0,7.73574804312508,100.0,97.9530877230252,5.526,9.758,0.9179999999999999,62.3,0.7,-0.163,0.706,204.91666666666666,27.664999999999996,6371.0,0.0,3.0,3.0
Belarus,2011,0.505029506160269,-2.24195793306143,112.9524212,22.158398899999998,6.480801965857871,6330.0,4.0,53.22869831181729,100.0,97.963121957959,5.225,9.812000000000001,0.91,62.88,0.6559999999999999,-0.168,0.672,181.0,24.94666666666667,6902.0,0.0,3.0,3.0
Belarus,2013,0.676845731653808,-2.07133975669803,117.25450900000001,29.38992301,2.9738646182244106,7010.0,4.0,18.3122610377873,100.0,97.9838908748348,5.876,9.839,0.9229999999999999,64.04,0.723,-0.177,0.653,158.5,22.776666666666667,8477.0,0.0,3.0,3.0
Belarus,2014,0.7361171727103492,-2.00749766104137,120.211978,28.30141454,2.3625292212252598,7600.0,4.0,18.1195543526734,100.0,97.9946149148329,5.812,9.856,0.88,64.62,0.647,-0.048,0.682,145.08333333333334,21.075833333333332,8849.0,1.0,3.0,3.0
Belgium,2005,0.6044792384012231,-1.47005146001006,91.0666428,19.06329508,8.69561392873802,37850.0,6.0,2.78143263670025,100.0,100.0,7.2620000000000005,10.745,0.935,69.9,0.924,-0.058500000000000024,0.598,169.08333333333334,19.312500000000004,39124.0,0.0,3.0,4.0
Belgium,2007,0.7866514958820792,-1.2892233835823999,100.37658090000001,25.51566742,20.47130149783,42780.0,6.0,1.8230563002681002,100.0,100.0,7.218999999999999,10.792,0.922,70.26,0.9009999999999999,0.069,0.721,154.75,17.38083333333333,47040.0,0.0,3.0,3.0
Belgium,2008,0.841239515661802,-1.23424152522468,105.2186842,27.66909855,36.739915264679105,46720.0,6.0,4.48944420508401,100.0,100.0,7.117000000000001,10.789000000000001,0.9229999999999999,70.44,0.887,0.006999999999999999,0.652,166.58333333333334,18.46166666666667,51345.0,1.0,3.0,3.0
Belgium,2010,0.962809676840454,-1.10933298043542,111.110074,30.83667139,23.0567040166151,47920.0,6.0,2.18929920422458,100.0,100.0,6.854,10.779000000000002,0.9309999999999999,70.8,0.807,0.022000000000000002,0.6970000000000001,167.75,18.348333333333333,47355.0,0.0,3.0,3.0
Belgium,2011,1.34911743933303,-0.719949466667124,113.46444950000001,32.1777199,29.985964105593702,47120.0,6.0,3.5320821072274398,100.0,100.0,7.111000000000001,10.783,0.937,70.92,0.88,-0.013999999999999999,0.711,174.0,18.8925,50893.0,0.0,3.0,3.0
Belgium,2012,0.6672414327266191,-1.39855214009303,111.0959485,33.31070821,1.34234394184714,47280.0,6.0,2.8396634344589704,100.0,100.0,6.935,10.784,0.927,71.04,0.855,-0.05,0.758,168.83333333333334,18.094166666666666,47678.0,1.0,3.0,3.0
Belgium,2013,0.5173691051059089,-1.54354711231896,110.435401,34.33541568,-5.4470765206473395,47500.0,6.0,1.1130959402753702,100.0,100.0,7.104,10.784,0.909,71.16,0.8909999999999999,0.017,0.574,157.91666666666666,16.795833333333338,49489.0,0.0,3.0,3.0
Belgium,2014,0.488911943991581,-1.56609972446087,113.5087018,35.75312806,-4.5084273415762,46920.0,6.0,0.340002833356965,100.0,100.0,6.855,10.795,0.9440000000000001,71.28,0.861,0.001,0.512,158.25,16.820833333333336,50173.0,0.0,3.0,3.0
Belgium,2015,0.623385919307908,-1.4246743607711798,113.16582120000001,36.50842403,-5.32341177111727,44180.0,6.0,0.561429152790106,100.0,100.0,6.904,10.81,0.885,71.4,0.8690000000000001,0.062,0.469,155.58333333333334,16.388333333333332,42830.0,1.0,3.0,3.0
Bosnia and Herzegovina,2011,-0.19657134074999302,-1.4859832478591202,85.96907179,11.66339782,2.52946085840409,4970.0,5.0,3.67125025917814,99.70578054690209,97.3929486335038,4.995,9.333,0.725,66.74,0.33299999999999996,-0.035,0.925,0.4166666666666667,0.10916666666666668,5076.0,1.0,5.0,5.0
Bosnia and Herzegovina,2014,-0.39996181568483,-1.6896703636194097,97.90202025,15.21045137,2.9359643289955097,5170.0,5.0,-0.8971940541942991,100.0,97.6617295799062,5.249,9.411,0.7879999999999999,66.86,0.41200000000000003,0.23199999999999998,0.976,26.083333333333332,9.125,5079.0,0.0,3.0,3.0
Brazil,2005,1.55113145894763,-0.6343965539874019,46.12216626,1.730069365,1.73390066855613,3980.0,4.0,6.86953720898965,97.093513,95.0570181678085,6.6370000000000005,9.437999999999999,0.883,63.3,0.882,-0.1275,0.745,710.75,6.133333333333334,5230.0,1.0,3.0,4.0
Brazil,2007,1.42618585556028,-0.7658855647908659,63.3315358,3.983450748,3.1908948421780403,6160.0,4.0,3.64127299102654,98.125382,95.55383725999079,6.321000000000001,9.515,0.8859999999999999,63.78,0.777,-0.016,0.728,737.9166666666666,5.973333333333333,7970.0,0.0,3.0,3.0
Brazil,2008,1.3769193167707101,-0.8183850658108429,78.06102237,5.190674888999999,2.99066328731514,7580.0,4.0,5.67859390284171,98.526625,95.79408750528592,6.691,9.555,0.878,64.02,0.782,-0.078,0.688,765.3333333333334,6.017500000000001,9555.0,0.0,3.0,3.0
Brazil,2009,1.34007790812606,-0.843497766341105,86.91075624,6.018592091,1.8884558245905398,8280.0,4.0,4.88803479876804,98.856938,96.02867951728659,7.001,9.544,0.9129999999999999,64.26,0.767,-0.055,0.723,778.8333333333334,5.864166666666667,9283.0,0.0,3.0,3.0
Brazil,2010,1.3159451632548798,-0.870302709358138,100.0679429,7.165222223,4.00440104412786,9610.0,4.0,5.03872690108066,98.883056640625,96.25807825437721,6.837000000000001,9.607000000000001,0.9059999999999999,64.5,0.8059999999999999,-0.054000000000000006,0.6559999999999999,785.75,6.060833333333334,12161.0,0.0,3.0,3.0
Brazil,2011,1.3063796027580001,-0.9516322577837959,117.9533009,8.975463419,3.8665911052709596,11010.0,4.0,6.63636935253204,99.328691,96.48253158693458,7.037999999999999,9.637,0.9159999999999999,64.76,0.8340000000000001,-0.07200000000000001,0.662,818.5,6.034166666666668,14245.0,0.0,3.0,3.0
Brazil,2012,1.2833539017381799,-0.9792897435579679,123.8145622,9.533083511000001,3.51317949330191,12280.0,4.0,5.4035533905600595,99.519494,96.70107398155199,6.66,9.647,0.89,65.02,0.8490000000000001,-0.0835,0.623,857.9166666666666,6.204166666666668,13283.0,0.0,3.0,3.0
Brazil,2013,1.25323243063264,-0.9981264994214142,133.9368763,10.55322334,2.81809660430144,12730.0,5.0,6.20433594839825,99.575151,96.9142165701678,7.14,9.668,0.91,65.28,0.785,-0.095,0.7070000000000001,876.0833333333334,6.117500000000001,13191.0,0.0,3.0,3.0
Brazil,2014,1.21913789083598,-1.04430523083443,137.468532,11.73692977,3.9568339811380397,12020.0,5.0,6.32915222712776,99.650247,97.2331021328487,6.981,9.664,0.898,65.54,0.7140000000000001,-0.115,0.71,885.9166666666666,6.094166666666667,12975.0,0.0,3.0,3.0
Brazil,2015,1.1774480649910601,-1.0819804849425,125.1755852,12.37241075,4.1459021669463505,10090.0,5.0,9.029807185774901,99.710902,97.49794257100478,6.547000000000001,9.62,0.907,65.8,0.799,-0.016,0.7709999999999999,930.25,6.454166666666667,9431.0,0.0,3.0,3.0
Bulgaria,2007,-0.24867876176487602,-1.9327312966609198,130.7987803,8.313469537000001,31.2425335354324,4820.0,4.0,8.40253419005894,100.0,99.57001238455021,3.844,9.715,0.8320000000000001,65.1,0.5660000000000001,-0.138,0.976,75.16666666666667,14.480833333333335,6073.0,1.0,3.0,3.0
Bulgaria,2010,-0.18831494752128303,-1.87473860071511,137.7516108,15.18953784,3.64137103407323,6980.0,4.0,2.4389906050411696,100.0,99.43276927462509,3.912,9.765,0.843,65.7,0.545,-0.14400000000000002,0.941,71.58333333333333,13.187500000000005,7066.0,0.0,3.0,3.0
Bulgaria,2011,-0.177597398592412,-1.86170577327088,142.39776640000002,17.0848234,3.66399876793918,7220.0,4.0,4.21990346601875,100.0,99.3875110561847,3.875,9.795,0.86,65.8,0.664,-0.228,0.948,63.583333333333336,11.126666666666665,8137.0,0.0,3.0,3.0
Bulgaria,2012,-0.116335428781667,-1.8185394454710502,147.4715073,18.21718506,3.3172722463566697,7420.0,4.0,2.95456829831017,100.0,99.34249011875809,4.2219999999999995,9.804,0.838,65.9,0.6409999999999999,-0.172,0.938,72.66666666666667,13.680833333333332,7745.0,0.0,3.0,3.0
Bulgaria,2013,-0.0975440850654849,-1.81822865570245,144.3245321,19.56405745,3.5802967821845697,7590.0,4.0,0.8900935409130319,100.0,99.2976956096677,3.9930000000000003,9.812999999999999,0.8290000000000001,66.0,0.603,-0.191,0.9620000000000001,60.083333333333336,11.180000000000001,8057.0,1.0,3.0,3.0
Bulgaria,2014,-0.108408405007288,-1.8430223232215401,131.35885530000002,20.50483617,1.9248592578442099,7730.0,4.0,-1.4181838026484201,100.0,99.2531306938691,4.438,9.838,0.8859999999999999,66.1,0.5760000000000001,-0.055,0.955,60.333333333333336,11.6475,8241.0,0.0,3.0,3.0
Canada,2005,1.08205383257025,0.5992874822755411,52.70258468,21.69228301,2.18455941565838,34120.0,6.0,2.2135520343976403,100.0,99.9,7.417999999999999,10.652000000000001,0.9620000000000001,71.3,0.9570000000000001,0.256,0.503,311.9166666666667,11.153333333333334,38218.0,1.0,3.0,4.0
Canada,2007,1.19773853599003,0.0406916657899339,61.40957528,27.48437519,8.22013290935771,41420.0,6.0,2.13838399266843,100.0,99.7,7.482,10.739,0.9505000000000001,71.66,0.93,0.249,0.406,300.9166666666667,10.620833333333334,46890.0,0.0,3.0,3.0
